Digital2
analog channels
0    	  1    	   2	    3    
No data	  No data  No data  Pileup events
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
0	  0	   0	    0
