Analog Channels
0    	    1    	    2    	    3    
Signal	    Baseline	    Trig data	    Energy
1944	    1944	    1940	    3709
1940	    1944	    1942	    3709
1945	    1944	    1949	    3709
1948	    1944	    1947	    3709
1948	    1944	    1942	    3709
1943	    1944	    1940	    3709
1941	    1944	    1945	    3709
1947	    1944	    1949	    3709
1950	    1944	    1946	    3709
1941	    1944	    1938	    3709
1940	    1944	    1943	    3709
1949	    1944	    1950	    3709
1948	    1944	    1944	    3709
1941	    1944	    1938	    3709
1942	    1944	    1945	    3709
1948	    1944	    1950	    3709
1943	    1944	    1943	    3709
1939	    1944	    1943	    3709
1947	    1944	    1949	    3709
1949	    1944	    1946	    3709
1937	    1944	    1939	    3709
1946	    1944	    1948	    3709
1945	    1944	    1946	    3709
1941	    1944	    1943	    3709
1947	    1944	    1944	    3709
1945	    1944	    1949	    3709
1944	    1944	    1944	    3709
1948	    1944	    1946	    3709
1944	    1944	    1943	    3709
1940	    1944	    1943	    3709
1945	    1944	    1947	    3709
1950	    1944	    1947	    3709
1946	    1944	    1941	    3709
1942	    1944	    1941	    3709
1944	    1944	    1947	    3709
1946	    1944	    1946	    3709
1942	    1944	    1943	    3709
1944	    1944	    1945	    3709
1950	    1944	    1948	    3709
1946	    1944	    1941	    3709
1938	    1944	    1940	    3709
1944	    1944	    1948	    3709
1951	    1944	    1950	    3709
1943	    1944	    1940	    3709
1938	    1944	    1940	    3709
1945	    1944	    1949	    3709
1951	    1944	    1949	    3709
1948	    1944	    1940	    3709
1940	    1944	    1939	    3709
1943	    1944	    1946	    3709
1949	    1944	    1948	    3709
1948	    1944	    1943	    3709
1944	    1944	    1939	    3709
1944	    1944	    1943	    3709
1950	    1944	    1946	    3709
1946	    1944	    1941	    3709
1943	    1944	    1943	    3709
1944	    1944	    1947	    3709
1945	    1944	    1948	    3709
1944	    1944	    1946	    3709
1944	    1944	    1946	    3709
1947	    1944	    1946	    3709
1946	    1944	    1944	    3709
1942	    1944	    1942	    3709
1944	    1944	    1947	    3709
1946	    1944	    1948	    3709
1944	    1944	    1941	    3709
1944	    1944	    1944	    3709
1940	    1944	    1945	    3709
1945	    1944	    1948	    3709
1947	    1944	    1947	    3709
1943	    1944	    1943	    3709
1947	    1944	    1945	    3709
1947	    1944	    1946	    3709
1943	    1944	    1942	    3709
1945	    1944	    1943	    3709
1946	    1944	    1945	    3709
1945	    1944	    1943	    3709
1946	    1944	    1945	    3709
1943	    1944	    1944	    3709
1942	    1944	    1944	    3709
1945	    1944	    1947	    3709
1946	    1944	    1945	    3709
1944	    1944	    1942	    3709
1938	    1944	    1945	    3709
1950	    1944	    1949	    3709
1946	    1944	    1944	    3709
1941	    1944	    1941	    3709
1945	    1944	    1948	    3709
1946	    1944	    1948	    3709
1946	    1944	    1944	    3709
1944	    1944	    1943	    3709
1943	    1944	    1945	    3709
1942	    1944	    1946	    3709
1947	    1944	    1947	    3709
1950	    1944	    1944	    3709
1946	    1944	    1942	    3709
1939	    1944	    1941	    3709
1944	    1944	    1948	    3709
1951	    1944	    1949	    3709
1946	    1944	    1942	    3709
1938	    1944	    1940	    3709
1942	    1944	    1948	    3709
1947	    1944	    1950	    3709
1945	    1944	    1942	    3709
1942	    1944	    1943	    3709
1944	    1944	    1947	    3709
1943	    1944	    1946	    3709
